year_month,price
1997.1.m,none
1997.2.m,none
1997.3.m,none
1997.4.m,none
1997.5.m,none
1997.6.m,none
1997.7.m,none
1997.8.m,none
1997.9.m,none
1997.10.m,none
1997.11.m,none
1997.12.m,none
1998.1.m,none
1998.2.m,none
1998.3.m,13
1998.4.m,15.33
1998.5.m,none
1998.6.m,none
1998.7.m,none
1998.8.m,none
1998.9.m,none
1998.10.m,none
1998.11.m,none
1998.12.m,none
1999.1.m,none
1999.2.m,7.5
1999.3.m,7.17
1999.4.m,7
1999.5.m,7
1999.6.m,none
1999.7.m,none
1999.8.m,none
1999.9.m,none
1999.10.m,none
1999.11.m,none
1999.12.m,none
2000.1.m,none
2000.2.m,7.67
2000.3.m,17.83
2000.4.m,22.92
2000.5.m,24.17
2000.6.m,none
2000.7.m,none
2000.8.m,none
2000.9.m,none
2000.10.m,none
2000.11.m,none
2000.12.m,none
2001.1.m,50
2001.2.m,35
2001.3.m,10
2001.4.m,13.33
2001.5.m,none
2001.6.m,none
2001.7.m,none
2001.8.m,none
2001.9.m,none
2001.10.m,none
2001.11.m,none
2001.12.m,none
2002.1.m,38.33
2002.2.m,35
2002.3.m,25.11
2002.4.m,23
2002.5.m,20
2002.6.m,none
2002.7.m,none
2002.8.m,none
2002.9.m,none
2002.10.m,none
2002.11.m,none
2002.12.m,none
2003.1.m,20
2003.2.m,20
2003.3.m,16.4
2003.4.m,23.61
2003.5.m,33.33
2003.6.m,none
2003.7.m,none
2003.8.m,none
2003.9.m,none
2003.10.m,none
2003.11.m,none
2003.12.m,none
2004.1.m,55
2004.2.m,61.67
2004.3.m,38.68
2004.4.m,20.9
2004.5.m,40
2004.6.m,none
2004.7.m,none
2004.8.m,none
2004.9.m,none
2004.10.m,none
2004.11.m,none
2004.12.m,none
2005.1.m,none
2005.2.m,none
2005.3.m,11.13
2005.4.m,11.78
2005.5.m,none
2005.6.m,none
2005.7.m,none
2005.8.m,none
2005.9.m,none
2005.10.m,none
2005.11.m,none
2005.12.m,none
2006.1.m,none
2006.2.m,none
2006.3.m,12.47
2006.4.m,12.47
2006.5.m,none
2006.6.m,none
2006.7.m,none
2006.8.m,none
2006.9.m,none
2006.10.m,none
2006.11.m,none
2006.12.m,none
2007.1.m,none
2007.2.m,none
2007.3.m,12
2007.4.m,12
2007.5.m,none
2007.6.m,none
2007.7.m,none
2007.8.m,none
2007.9.m,none
2007.10.m,none
2007.11.m,none
2007.12.m,none
2008.1.m,none
2008.2.m,none
2008.3.m,13.35
2008.4.m,13.61
2008.5.m,none
2008.6.m,none
2008.7.m,none
2008.8.m,none
2008.9.m,none
2008.10.m,none
2008.11.m,none
2008.12.m,none
2009.1.m,none
2009.2.m,none
2009.3.m,12.47
2009.4.m,12.47
2009.5.m,none
2009.6.m,none
2009.7.m,none
2009.8.m,none
2009.9.m,none
2009.10.m,none
2009.11.m,none
2009.12.m,none
2010.1.m,none
2010.2.m,none
2010.3.m,12.47
2010.4.m,12.47
2010.5.m,none
2010.6.m,none
2010.7.m,none
2010.8.m,none
2010.9.m,none
2010.10.m,none
2010.11.m,none
2010.12.m,none
2011.1.m,15
2011.2.m,none
2011.3.m,10.73
2011.4.m,10.79
2011.5.m,none
2011.6.m,none
2011.7.m,none
2011.8.m,none
2011.9.m,none
2011.10.m,none
2011.11.m,none
2011.12.m,none
2012.1.m,none
2012.2.m,none
2012.3.m,12.7
2012.4.m,12.92
2012.5.m,12.7
2012.6.m,none
2012.7.m,none
2012.8.m,none
2012.9.m,none
2012.10.m,none
2012.11.m,none
2012.12.m,none
2013.1.m,none
2013.2.m,none
2013.3.m,none
2013.4.m,12.33
2013.5.m,12.7
2013.6.m,none
2013.7.m,none
2013.8.m,none
2013.9.m,none
2013.10.m,none
2013.11.m,none
2013.12.m,none
2014.1.m,none
2014.2.m,none
2014.3.m,35.33
2014.4.m,11.5
2014.5.m,none
2014.6.m,none
2014.7.m,none
2014.8.m,none
2014.9.m,none
2014.10.m,none
2014.11.m,none
2014.12.m,none
2015.1.m,none
2015.2.m,none
2015.3.m,12.7
2015.4.m,16.9
2015.5.m,none
2015.6.m,none
2015.7.m,none
2015.8.m,none
2015.9.m,none
2015.10.m,none
2015.11.m,none
2015.12.m,none
2016.1.m,none
2016.2.m,none
2016.3.m,27.67
2016.4.m,26.33
2016.5.m,none
2016.6.m,none
2016.7.m,none
2016.8.m,none
2016.9.m,none
2016.10.m,none
2016.11.m,none
2016.12.m,none
